	evalOption1	evalOption2	Average
daisy1	21.43447687224665	22.4054606277533	21.91996874999998
daisy2	11.574195250659614	11.7224050131926	11.648300131926092
daisy3	-28.41011588275395	-21.96728629856844	-25.188701090661198
daisy4	-19.2879089839155	-13.584479011377013	-16.436193997646257
jazz1	7.468180555555527	9.059279166666663	8.263729861111102
jazz2	-5.6844723995494135	-3.0714938039804593	-4.407983101764934
jazz3	23.750500782472507	27.663239436619726	25.70687010954611
jazz4	-2.7607386035775647	3.883031736872468	0.5611465666474516
midi1	-39.080199155099734	-27.3275555220277	-33.19887733856372
midi2	-0.29877750611248644	-0.10664722319248199	-0.2027123646524842
midi3	-7.362465722120689	-6.208877970749569	-6.785671846435129
midi4	-16.951979160374442	-7.993840803382653	-12.467909981878549
opera_fem2	28.359499279538888	31.986904899135432	30.168202089337164
opera_fem4	22.415498539841472	23.54419774718398	22.97984814351272
opera_male3	10.263351712130067	15.501468369123703	12.882410040626887
opera_male5	-2.1214577335774436	10.619907877518955	4.2492250719707485
pop1	-7.085933026584819	-6.2719210122699	-6.678927019427356
pop2	-9.65300895522389	-4.962127462686574	-7.307568208955239
pop3	-3.201937354988445	-1.3885362529002379	-2.290236803944339
pop4	3.3381988742964097	5.5296598767086635	4.428929375502534
Average	-0.6667546308568433	3.4511394694820297	1.3921924193125648
