	evalOption1	evalOption2	Average
daisy1	26.319727422907434	26.44902257709252	26.384375000000006
daisy2	15.184525065963001	15.214117941952466	15.199321503957705
daisy3	-11.49975460122701	-11.468066462167613	-11.483910531697305
daisy4	-3.087591212240085	-3.087544919576274	-3.087568065908158
jazz1	18.290329861111083	20.10619131944444	19.19826059027777
jazz2	5.767153586181038	5.22438302666167	5.465768306421353
jazz3	35.79789514866979	35.797887715179975	35.797891431924874
jazz4	-4.294316214656675	6.229255049047865	0.9674694171955878
midi1	-40.6050181050091	-37.9120310802655	-39.2535245926373
midi2	13.182850157177697	13.382855047153342	13.282852602165505
midi3	6.280404478976152	9.748329296160819	8.014366887568514
midi4	-15.910803080640328	-11.649548988221078	-13.775176034430714
opera_fem2	42.97368155619595	46.151544668587896	44.55761311239194
opera_fem4	33.776441385064665	34.558876929495206	34.167659157279935
opera_male3	34.792025536854354	37.35127916424834	36.071652350551346
opera_male5	12.937136875163489	35.16917665532587	24.053156765244687
pop1	-5.555953476482536	-5.57251635991814	-5.564234918200327
pop2	7.166605970149163	7.098347761193978	7.132476865671549
pop3	-16.55212354988395	-3.0409928364269234	-9.791558193155439
pop4	8.96863307424286	12.161038595550792	10.55983583489683
Average	8.194592493925867	11.595080255025962	9.894836374475915
