file_name	error_sum
daisy1	23.4275212766
daisy2	31.7850348356
daisy3	32.1240433308
daisy4	19.4911110857
jazz1	52.5980136629
jazz2	118.022289676
jazz3	82.4862328005
jazz4	147.70670747
midi1	290.142182701
midi2	46.2429483202
midi3	100.169532643
midi4	313.467748315
opera_fem2	69.7216490702
opera_fem4	42.7096473388
opera_male3	205.922623676
opera_male5	256.654899465
pop1	81.9657893116
pop2	86.5133340772
pop3	148.347631145
pop4	103.143425041
